height	year	sex	native	native2	home	stop	vot
70	2	1	1	NA	WI	p	0.077466667
70	2	1	1	NA	WI	b	-0.061733333
70	2	1	1	NA	WI	t	0.117566667
70	2	1	1	NA	WI	d	0.002966667
70	2	1	1	NA	WI	k	0.067433333
70	2	1	1	NA	WI	g	-0.034633333
68	3	1	1	Spanish	NJ	p	0.087666667
68	3	1	1	Spanish	NJ	b	0.147333333
68	3	1	1	Spanish	NJ	t	0.093666667
68	3	1	1	Spanish	NJ	d	0.025666667
68	3	1	1	Spanish	NJ	k	0.086666667
68	3	1	1	Spanish	NJ	g	0.029333333
72	4	1	1	NA	TX	p	-0.085352333
72	4	1	1	NA	TX	b	-0.023666667
72	4	1	1	NA	TX	t	0.081884
72	4	1	1	NA	TX	d	0.018466667
72	4	1	1	NA	TX	k	0.101341333
72	4	1	1	NA	TX	g	0.041617333
63	4	0	1	NA	TN	p	0.046462667
63	4	0	1	NA	TN	b	0.042413
63	4	0	1	NA	TN	t	0.0214
63	4	0	1	NA	TN	d	0.042556333
63	4	0	1	NA	TN	k	0.036936667
63	4	0	1	NA	TN	g	0.075788667
66	3	1	1	NA	MD	p	0.09
66	3	1	1	NA	MD	b	-0.002333333
66	3	1	1	NA	MD	t	0.099
66	3	1	1	NA	MD	d	0
66	3	1	1	NA	MD	k	0.107
66	3	1	1	NA	MD	g	0
64	2	0	1	Russian	VA	p	0.104
64	2	0	1	Russian	VA	b	0.072
64	2	0	1	Russian	VA	t	0.091
64	2	0	1	Russian	VA	d	0.046
64	2	0	1	Russian	VA	k	0.086333333
64	2	0	1	Russian	VA	g	0.038333333
78	1	1	1	NA	CA	p	0.087111
78	1	1	1	NA	CA	b	0.05651
78	1	1	1	NA	CA	t	0.058719667
78	1	1	1	NA	CA	d	0.088166667
78	1	1	1	NA	CA	k	0.064
78	1	1	1	NA	CA	g	0.091622
59	2	0	1	NA	KY	p	0.019333333
59	2	0	1	NA	KY	b	0.06638
59	2	0	1	NA	KY	t	0.020843667
59	2	0	1	NA	KY	d	0.023296
59	2	0	1	NA	KY	k	0.022
59	2	0	1	NA	KY	g	0.023866667
65	2	0	1	NA	OK	p	0.101333333
65	2	0	1	NA	OK	b	-0.109666667
65	2	0	1	NA	OK	t	0.090666667
65	2	0	1	NA	OK	d	0
65	2	0	1	NA	OK	k	0.083666667
65	2	0	1	NA	OK	g	-0.080333333
68.5	2	0	0	Chinese	China	p	0.094361333
68.5	2	0	0	Chinese	China	b	0.009139
68.5	2	0	0	Chinese	China	t	0.117261667
68.5	2	0	0	Chinese	China	d	0.014254333
68.5	2	0	0	Chinese	China	k	0.098829
68.5	2	0	0	Chinese	China	g	0.032620667
